iter	Passed	Remaining
0	1	159
1	2	118
2	3	105
3	3	91
4	4	89
5	6	95
6	7	98
7	8	101
8	9	97
9	10	94
10	11	90
11	11	87
12	12	84
13	13	82
14	14	81
15	15	79
16	16	78
17	16	76
18	17	75
19	18	73
20	19	73
21	20	72
22	21	71
23	22	70
24	22	68
25	23	67
26	24	66
27	25	64
28	25	63
29	26	62
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	64	34
65	67	34
66	68	33
67	69	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	73	25
74	74	24
75	75	23
76	76	22
77	76	21
78	77	20
79	78	19
80	79	18
81	81	17
82	82	16
83	83	15
84	84	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
